epoch,accuracy,loss,val_accuracy,val_loss
0,0.6780329346656799,0.01065832283347845,0.800097644329071,0.002104006940498948
1,0.8322710394859314,0.002014831406995654,0.8555341958999634,0.0011626339983195066
0,0.8554261326789856,0.0014761702623218298,0.8732413649559021,0.0009367599268443882
1,0.866594135761261,0.0012607136741280556,0.891367495059967,0.0007122199749574065
2,0.8715438842773438,0.0010574847692623734,0.8850669264793396,0.0006065458874218166
3,0.8695816397666931,0.0009172501158900559,0.8819313645362854,0.0005673191626556218
4,0.8676354885101318,0.0008299318142235279,0.884103536605835,0.0004991906462237239
5,0.8679050207138062,0.000770114769693464,0.8905208706855774,0.0004560161614790559
6,0.8720027208328247,0.0007017055177129805,0.8933347463607788,0.0004461539792828262
7,0.8751592040061951,0.0006625766982324421,0.8938988447189331,0.0004280413850210607
8,0.879077672958374,0.0006102541810832918,0.8993388414382935,0.00040163370431400836
9,0.8828712105751038,0.0005742829525843263,0.8996066451072693,0.00037440875894390047
10,0.8855770826339722,0.0005452234181575477,0.9029183387756348,0.0003775511868298054
11,0.8873899579048157,0.0005195079720579088,0.9064705967903137,0.0003641738439910114
12,0.8902880549430847,0.0004926439141854644,0.9109514355659485,0.0003391994978301227
13,0.8914768099784851,0.00046391235082410276,0.906734049320221,0.00033256239839829504
14,0.893211841583252,0.0004420045006554574,0.9251696467399597,0.00029822546639479697
15,0.8948370814323425,0.00042444528662599623,0.9235906600952148,0.00031477765878662467
16,0.8959464430809021,0.0004065415123477578,0.8997151851654053,0.00029336288571357727
17,0.896852433681488,0.0003922836622223258,0.925384521484375,0.00030328668071888387
18,0.8983643054962158,0.0003760960535146296,0.9297405481338501,0.0002593115787021816
19,0.899255633354187,0.00036105248727835715,0.9278921484947205,0.00025345804169774055
20,0.9007543325424194,0.0003465785412117839,0.8991733193397522,0.00025556376203894615
21,0.9010496139526367,0.00032955125789158046,0.9331384301185608,0.0002732383436523378
22,0.901883065700531,0.0003193671291228384,0.9187172055244446,0.00024135404964908957
23,0.9027575850486755,0.00030986752244643867,0.9330375790596008,0.0002593139070086181
24,0.9037140607833862,0.0002982134756166488,0.9329680800437927,0.00022532659932039678
25,0.9042035937309265,0.0002892935008276254,0.9323991537094116,0.0002638575970195234
26,0.904741644859314,0.0002800747170113027,0.9299336671829224,0.0002185710909543559
27,0.9053362011909485,0.00027068465715274215,0.9382296800613403,0.0002021433028858155
28,0.9060214161872864,0.0002630721719469875,0.9029202461242676,0.00022156337217893451
29,0.9067351222038269,0.0002544283343013376,0.9187299013137817,0.00019968414562754333
30,0.9072058200836182,0.00024792662588879466,0.9341561794281006,0.00020367441175039858
31,0.9065066576004028,0.0002421682293061167,0.928913950920105,0.00021325690613593906
32,0.9075645208358765,0.00023406989930663258,0.9364134073257446,0.00019715196685865521
33,0.9075602889060974,0.00022867076040711254,0.909702718257904,0.0001828563545132056
34,0.9072723388671875,0.00022414472186937928,0.9354250431060791,0.0001899704075185582
35,0.907703161239624,0.00021817622473463416,0.9130619764328003,0.00017661649326328188
36,0.9085033535957336,0.0002139566495316103,0.9364358186721802,0.00016850150132086128
37,0.9087932109832764,0.00020763880456797779,0.9334286451339722,0.00016347237396985292
38,0.9091419577598572,0.00020448466239031404,0.9409400820732117,0.0001691381330601871
39,0.9097920060157776,0.00020057267101947218,0.9356257915496826,0.00019116688054054976
40,0.9105779528617859,0.0001956941996468231,0.9216154217720032,0.0001509618159616366
41,0.9109417796134949,0.0001905028329929337,0.9392209649085999,0.00015632357099093497
42,0.9106667041778564,0.00018927775090560317,0.9301275610923767,0.0001483860978623852
43,0.9120615720748901,0.00018387127784080803,0.9316478371620178,0.00017278683662880212
44,0.9129505157470703,0.00017969243344850838,0.9342697858810425,0.0001578400406287983
45,0.9129074811935425,0.00017657832358963788,0.9147796630859375,0.00014891603495925665
46,0.914125919342041,0.00017567888426128775,0.939048707485199,0.00014785108214709908
47,0.9143961071968079,0.00017103538266383111,0.9353638291358948,0.00015753787010908127
48,0.9145312309265137,0.00016844198398757726,0.9443835020065308,0.00014623852621298283
49,0.9158280491828918,0.00016601313836872578,0.9399499893188477,0.00014499577810056508
50,0.916155993938446,0.000161162723088637,0.9343584179878235,0.0001280410069739446
51,0.9168156385421753,0.00015897511912044138,0.941555917263031,0.00013794374535791576
52,0.9174311757087708,0.00015722753596492112,0.9339783191680908,0.0001502012019045651
53,0.9171295762062073,0.00015510362572968006,0.9300255179405212,0.00014751295384485275
54,0.9172657132148743,0.00015400547999888659,0.9319624304771423,0.00012155543663538992
