,loss,accuracy,val_loss,val_accuracy
0,0.637353777885437,0.6275320053100586,0.6431592106819153,0.6172624230384827
1,0.5658701062202454,0.708581805229187,0.49158215522766113,0.7502179741859436
2,0.46908459067344666,0.7881566286087036,0.47047361731529236,0.7571926712989807
3,0.44649675488471985,0.8013936281204224,0.4593830406665802,0.7776809334754944
4,0.4256313443183899,0.8101420402526855,0.4602290093898773,0.7746294736862183
5,0.40250763297080994,0.8229467272758484,0.5020245909690857,0.7667829394340515
6,0.38414281606674194,0.8329285383224487,0.49033448100090027,0.7768090963363647
7,0.3655218183994293,0.8416133522987366,0.5125717520713806,0.7449869513511658
8,0.34690672159194946,0.8512772917747498,0.5217415690422058,0.7611159682273865
9,0.3303195834159851,0.8595297932624817,0.5649601221084595,0.7628596425056458
10,0.31162434816360474,0.8696387410163879,0.5769218802452087,0.7515257000923157
11,0.2966810464859009,0.8765560984611511,0.6082916259765625,0.7598081827163696
12,0.28017687797546387,0.8858639597892761,0.6570478677749634,0.7571926712989807
13,0.2641349732875824,0.8920819163322449,0.7372866868972778,0.7454228401184082
